Наименование маршрута,name,query,url,short_name,address,coords,lat,lon,source,N_point,city
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,"Ольхонское плато, скала Витязь",Скальник Витязь,https://yandex.ru/maps/-/CCUcvKSm8D,Скальник Витязь,"Иркутская область, Шелеховский район, Подкаменское муниципальное образование, Скальник Витязь","51.974820, 104.104524",51.97482,104.104524,,1,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,"Ольхонское плато, скала Старая крепость",https://yandex.ru/maps/org/skalnik_staraya_krepost/160846154162/?ll=104.146345%2C51.971414&mode=search&sll=104.146345%2C51.981418&sspn=0.081244%2C0.040057&text=Скальник%20%22Старая%22%20Крепость&z=12.62,https://yandex.ru/maps/-/CCUcvZTaDB,Скальник Старая крепость,"Иркутская область, Шелеховский район, Большелугское муниципальное образование","51.993011, 104.140778",51.993011,104.140778,,2,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,"Ольхонское плато, скала Старуха Изергиль",https://yandex.ru/maps/org/skalnik_starukha/59053104311/?ll=104.135232%2C51.946686&mode=search&sctx=ZAAAAAgBEAAaKAoSCbg7a7ddCVpAETNwQEtX%2FElAEhIJBWoxeJj2yT8R626e6pCbuT8iBgABAgMEBSgKOABAmI4GSAFiHXJlbGV2X3VzZV9nZW9zZWFyY2hfZ2VvYWRkcj0wYidtaWRkbGVfd2l6ZXh0cmE9dXNlX2dlb3NlYXJjaF9nZW9hZGRyPTBiIW1pZGRsZV93aXpleHRyYT1obnN3X2VtYmVkZGluZ3M9MWoCcnWdAc3MTD2gAQCoAQC9AddU44DCAQa3udv%2B2wHqAQDyAQD4AQCCAh%2FQodGC0LDRgNGD0YXQsCDQmNC30LXRgNCz0LjQu9GMigIAkgIAmgIMZGVza3RvcC1tYXBz&sll=104.135232%2C51.946686&sspn=0.082951%2C0.040930&text=Старуха%20Изергиль&z=13.91,https://yandex.ru/maps/-/CCUcvKcfPB,Скальник Старуха,"Иркутская область, Шелеховский район, Подкаменское муниципальное образование","51.946688, 104.135230",51.946688,104.13523,,3,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,"Ольхонское плато, скала Ворона",https://yandex.ru/maps/org/skalny_ostanets_vorona/36282482716/?ll=103.847043%2C52.044807&mode=search&sll=103.847043%2C52.044147&text=Скальник%20Ворона&z=10,https://yandex.ru/maps/-/CCUgEARw0D,Скальный останец Ворона,"Иркутская область, Шелеховский район","51.943058, 103.931165",51.943058,103.931165,,4,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,"Ольхонское плато, скала Фараон",https://yandex.ru/maps/geo/skalnik_faraon/4406106440/?ll=103.836965%2C51.961773&z=13.92,https://yandex.ru/maps/-/CCUcvKsg8C,Скальник Фараон,"Скальник Фараон, Подкаменское муниципальное образование, Шелеховский район, Иркутская область","51.961772, 103.836964",51.961772,103.836964,,5,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,"Ольхонское плато, скала Клеопатра",Скальник Клеопатра,https://yandex.ru/maps/-/CCUcvKDRTC,Клеопатра,"Подаптечная ул., 2, Иркутск","52.286546, 104.308385",52.286546,104.308385,,6,Ольхонское плато
Прогулка по старому Усолью,"Иркутская область, г. Усолье-Сибирское, Остров Варничный","Иркутская область, г. Усолье-Сибирское, Остров Варничный",https://yandex.ru/maps/-/CCUcvKx6SC,парк Остров Варничный,"парк Остров Варничный, Усолье-Сибирское, Иркутская область","52.762855, 103.673013",52.762855,103.673013,,1,Усолье-Сибирское
Прогулка по старому Усолью,"Иркутская область, г. Усолье-Сибирское, Курорт «Усолье»","Иркутская область, г. Усолье-Сибирское, Курорт «Усолье»",https://yandex.ru/maps/-/CCUcvOAThC,Усолье,"ул. Горького, 7, Усолье-Сибирское","52.759536, 103.663786",52.759536,103.663786,,2,Усолье-Сибирское
Прогулка по старому Усолью,"Иркутская область, г. Усолье-Сибирское, Улица Карла Маркса","Иркутская область, г. Усолье-Сибирское, Улица Карла Маркса",https://yandex.ru/maps/-/CCUcvOQ22B,улица Карла Маркса,"улица Карла Маркса, Усолье-Сибирское, Иркутская область","52.760272, 103.656349",52.760272,103.656349,,3,Усолье-Сибирское
Прогулка по старому Усолью,"Иркутская область, г. Усолье-Сибирское, Спасо-Преображенский храм","Иркутская область, г. Усолье-Сибирское, Спасо-Преображенский храм",https://yandex.ru/maps/-/CCUgI-s6CB,Церковь Спаса Преображения,"ул. Карла Маркса, 19, Усолье-Сибирское","52.759093, 103.658612",52.759093,103.658612,,4,Усолье-Сибирское
Прогулка по старому Усолью,"Иркутская область, г. Усолье-Сибирское, Усадьба Пономарева","Иркутская область, г. Усолье-Сибирское, Усадьба Пономарева",https://yandex.ru/maps/-/CCUgAHXa0A,Усадьба купца Пономарёва Приска Федоровича,"Красноармейская ул., 16, Усолье-Сибирское","52.757889, 103.662526",52.757889,103.662526,,5,Усолье-Сибирское
Прогулка по старому Усолью,"Иркутская область, г. Усолье-Сибирское, Усадьба Рассушина","Иркутская область, г. Усолье-Сибирское, Усадьба Рассушина",https://yandex.ru/maps/-/CCUgAXej2A,Усадьба В.А. Рассушина,"Иркутская область, Усолье-Сибирское, улица Мира","52.759290, 103.668242",52.75929,103.668242,,6,Усолье-Сибирское
Свирский ледовый переход,"Иркутская область, г. Свирск, Лыжная база",https://yandex.ru/maps/org/lyzhnaya_baza/169767687536/?ll=103.344436%2C53.101228&mode=search&sll=103.344436%2C53.101228&text=лыжная%20база%20свирск&z=16,https://yandex.ru/maps/-/CCUgEAf1kA,Лыжная база,"Лесная ул., 1, Свирск","53.101228, 103.344436",53.101228,103.344436,https://svirsk.ru/dejatelnost/turizm/,1,Свирск
Свирский ледовый переход,"Иркутская область, Урочище Федяево",https://yandex.ru/maps/geo/urochishche_fedyayevo/1499066694/?ll=103.330409%2C53.230050&mode=search&sctx=ZAAAAAgAEAAaKAoSCbpoyHiUElpAESy3tBoSI0pAEhIJO1PovMYugT8ReSKI83ACgz8iBgABAgMEBSgKOABA080GSAFiHXJlbGV2X3VzZV9nZW9zZWFyY2hfZ2VvYWRkcj0wYidtaWRkbGVfd2l6ZXh0cmE9dXNlX2dlb3NlYXJjaF9nZW9hZGRyPTBiIW1pZGRsZV93aXpleHRyYT1obnN3X2VtYmVkZGluZ3M9MWoCcnWdAc3MTD2gAQCoAQC9AVLbGqTCAQQAAAAA6gEA8gEA%2BAEAggId0YPRgNC%2B0YfQuNGJ0LUg0YTQtdC00Y%2FQtdCy0L6KAgCSAgYxMDAxMTiaAgxkZXNrdG9wLW1hcHM%3D&sll=103.330409%2C53.230050&sspn=0.012984%2C0.014051&text=урочище%20федяево&z=15.41,https://yandex.ru/maps/-/CCUcvOR2SA,урочище Федяево,"урочище Федяево, Каменно-Ангарское муниципальное образование, Черемховский район, Иркутская область","53.230061, 103.330458",53.230061,103.330458,,2,Свирск
Великий чайный путь по Кругоморскому тракту,"Иркутская область, Слюдянский район, п.Култук","Иркутская область, Слюдянский район, п.Култук",https://yandex.ru/maps/-/CCUcvOb1pD,рабочий посёлок Култук,"рабочий посёлок Култук, Слюдянский район, Иркутская область","51.725458, 103.709296",51.725458,103.709296,,1,Слюдянский район
Великий чайный путь по Кругоморскому тракту,"Иркутская область, Слюдянский район, Пик Черского","Иркутская область, Слюдянский район, Пик Черского",https://yandex.ru/maps/-/CCUcvOf~HA,Пик Черского,"Пик Черского, Утуликское муниципальное образование, Слюдянский район, Иркутская область","51.515983, 103.626489",51.515983,103.626489,,2,Слюдянский район
Великий чайный путь по Кругоморскому тракту,"Иркутская область, Слюдянский район, р.Утулик","Иркутская область, Слюдянский район, р.Утулик",https://yandex.ru/maps/-/CCUgAHTc3D,река Утулик,река Утулик,"51.426724, 103.670282",51.426724,103.670282,,3,Слюдянский район
Великий чайный путь по Кругоморскому тракту,"Иркутская область, Слюдянский район, п.Утулик","Иркутская область, Слюдянский район, п.Утулик",https://yandex.ru/maps/-/CCUcvOGr3A,посёлок Утулик,"посёлок Утулик, Слюдянский район, Иркутская область","51.544396, 104.056692",51.544396,104.056692,,4,Слюдянский район
Великий чайный путь по Кругоморскому тракту,"Иркутская область, Слюдянский район, п.Мурино","Иркутская область, Слюдянский район, п.Мурино",https://yandex.ru/maps/-/CCUcvOWa8B,посёлок Мурино,"посёлок Мурино, Новоснежнинское муниципальное образование, Слюдянский район, Иркутская область","51.475886, 104.405939",51.475886,104.405939,,5,Слюдянский район
Екатерининская верста,"Иркутская область, Слюдянский район, п.Култук","Иркутская область, Слюдянский район, п.Култук",https://yandex.ru/maps/-/CCUcvOb1pD,рабочий посёлок Култук,"рабочий посёлок Култук, Слюдянский район, Иркутская область","51.725458, 103.709296",51.725458,103.709296,,1,Слюдянский район
Екатерининская верста,"Иркутская область, Слюдянский район, г.Слюдянка","Иркутская область, Слюдянский район, г.Слюдянка",https://yandex.ru/maps/-/CCUcvOcHsD,Слюдянка,"Слюдянка, Иркутская область","51.656501, 103.718845",51.656501,103.718845,,2,Слюдянский район
Екатерининская верста,"Иркутская область, Слюдянский район, п.Утулик","Иркутская область, Слюдянский район, п.Утулик",https://yandex.ru/maps/-/CCUcvOGr3A,посёлок Утулик,"посёлок Утулик, Слюдянский район, Иркутская область","51.544396, 104.056692",51.544396,104.056692,,3,Слюдянский район
Екатерининская верста,"Иркутская область, Слюдянский район, п.Мурино","Иркутская область, Слюдянский район, п.Мурино",https://yandex.ru/maps/-/CCUcvOWa8B,посёлок Мурино,"посёлок Мурино, Новоснежнинское муниципальное образование, Слюдянский район, Иркутская область","51.475886, 104.405939",51.475886,104.405939,,4,Слюдянский район
Остров Ольхон,"Иркутская область, Ольхонский район, о. Ольхон, Мыс Хобой","Иркутская область, Ольхонский район, о. Ольхон, Мыс Хобой",https://yandex.ru/maps/-/CCUcvOsBpB,мыс Хобой,"мыс Хобой, Ольхонский район, Иркутская область","53.410625, 107.789507",53.410625,107.789507,,1,Ольхонский район
Остров Ольхон,"Иркутская область, Ольхонский район, о. Ольхон, Мыс Бурхан","Иркутская область, Ольхонский район, о. Ольхон, Мыс Бурхан",https://yandex.ru/maps/-/CCUcvODixA,мыс Бурхан,"мыс Бурхан, Ольхонский район, Иркутская область","53.203829, 107.338948",53.203829,107.338948,,2,Ольхонский район
Остров Ольхон,"Иркутская область, Ольхонский район, о. Ольхон, Остров Огой","Иркутская область, Ольхонский район, о. Ольхон, Остров Огой",https://yandex.ru/maps/-/CCUcvOHdOA,остров Огой,"остров Огой, Ольхонский район, Иркутская область","53.128613, 106.998935",53.128613,106.998935,,3,Ольхонский район
Остров Ольхон,"Иркутская область, Ольхонский район, о. Ольхон, Малые ушканьи острова","Иркутская область, Ольхонский район, о. Ольхон, Малые ушканьи острова",https://yandex.ru/maps/-/CCUgAHv3kC,пристань Ушканьи острова,"пристань Ушканьи острова, Баргузинский район, Республика Бурятия","53.855856, 108.711942",53.855856,108.711942,,4,Ольхонский район
Остров Ольхон,"Иркутская область, Ольхонский район, о. Ольхон, Мыс Сагаан-Хушун","Иркутская область, Ольхонский район, о. Ольхон, Мыс Сагаан-Хушун",https://yandex.ru/maps/-/CCUgAHGAHD,Мыс Цаган-Хушун,"Иркутская область, Ольхонский район","53.171990, 106.981090",53.17199,106.98109,,5,Ольхонский район
По тропам наших предков: Куяда – Бугульдейка – Куртун ,"Иркутская область, Ольхонский район, Куяда","Иркутская область, Ольхонский район, Куяда",https://yandex.ru/maps/-/CCUcvSEQlA,деревня Куяда,"деревня Куяда, Ольхонский район, Иркутская область","52.559247, 106.131747",52.559247,106.131747,,1,Ольхонский район
По тропам наших предков: Куяда – Бугульдейка – Куртун ,"Иркутская область, Ольхонский район, Мраморный карьер","Иркутская область, Ольхонский район, Мраморный карьер",https://yandex.ru/maps/-/CCUcvSQgDB,Мраморный карьер,"Мраморный карьер, Ольхонский район, Иркутская область","52.558776, 106.092140",52.558776,106.09214,,2,Ольхонский район
По тропам наших предков: Куяда – Бугульдейка – Куртун ,"Иркутская область, Ольхонский район, Бугульдейка","Иркутская область, Ольхонский район, Бугульдейка",https://yandex.ru/maps/-/CCUgAHD0gA,поселок Бугульдейка,"поселок Бугульдейка, Ольхонский район, Иркутская область","52.546571, 106.069170",52.546571,106.06917,,3,Ольхонский район
По тропам наших предков: Куяда – Бугульдейка – Куртун ,"Иркутская область, Ольхонский район, Куртун ","Иркутская область, Ольхонский район, Куртун ",https://yandex.ru/maps/-/CCUcvSqqHD,река Куртун,"река Куртун, Ольхонский район, Иркутская область","52.606956, 105.786973",52.606956,105.786973,,4,Ольхонский район
По тропам наших предков: Бугульдейка - Куртун – Загота –Заозёрное,"Иркутская область, Ольхонский район, Бугульдейка","Иркутская область, Ольхонский район, Бугульдейка",https://yandex.ru/maps/-/CCUgAHD0gA,поселок Бугульдейка,"поселок Бугульдейка, Ольхонский район, Иркутская область","52.546571, 106.069170",52.546571,106.06917,,1,Ольхонский район
По тропам наших предков: Бугульдейка - Куртун – Загота –Заозёрное,"Иркутская область, Ольхонский район, Куртун","Иркутская область, Ольхонский район, Куртун",https://yandex.ru/maps/-/CCUcvSqqHD,река Куртун,"река Куртун, Ольхонский район, Иркутская область","52.606956, 105.786973",52.606956,105.786973,,2,Ольхонский район
По тропам наших предков: Бугульдейка - Куртун – Загота –Заозёрное,"Иркутская область, Ольхонский район, Загота","Иркутская область, Ольхонский район, Загота",https://yandex.ru/maps/-/CCUcvSbEsB,река Загота,"река Загота, Ольхонский район, Иркутская область","52.592991, 105.521171",52.592991,105.521171,,3,Ольхонский район
По тропам наших предков: Бугульдейка - Куртун – Загота –Заозёрное,"Иркутская область, Ольхонский район, Заозёрное","Иркутская область, Ольхонский район, Заозёрное",https://yandex.ru/maps/-/CCUcvSfxoA,садоводческое некоммерческое товарищество Заозёрное,"садоводческое некоммерческое товарищество Заозёрное, Гостилицкое сельское поселение, Ломоносовский район, Ленинградская область","52.640957, 105.80693",52.640957,105.80693,,4,Ольхонский район
Богатырские пещеры,"Иркутская область, Нижнеудинский район, усадьба Михинных","Иркутская область, Нижнеудинский район, усадьба Михинных",https://yandex.ru/maps/-/CCUgAHr-KB,Порогское муниципальное образование,"Порогское муниципальное образование, Нижнеудинский район, Иркутская область","54.496544, 99.005179",54.496544,99.005179,,1,Нижнеудинский район
Богатырские пещеры,"Иркутская область, Нижнеудинский район, Богатырские пещеры (Нижнеудинские пещеры)","Иркутская область, Нижнеудинский район, Богатырские пещеры (Нижнеудинские пещеры)",https://yandex.ru/maps/-/CCUgAHCEwD,Нижнеудинские пещеры,"Иркутская область, Нижнеудинский район, Порогское муниципальное образование","54.474197, 98.975945",54.474197,98.975945,,2,Нижнеудинский район
р.п. Листвянка - п. БольшоеГолоустное,"Иркутская область, Иркутский район, п. Листвянка","Иркутская область, Иркутский район, п. Листвянка",https://yandex.ru/maps/-/CCUcvSWVOC,рабочий посёлок Листвянка,"рабочий посёлок Листвянка, Листвянское муниципальное образование, Иркутский район","51.859990, 104.863191",51.85999,104.863191,,1,Иркутский район
р.п. Листвянка - п. БольшоеГолоустное,"Иркутская область, Иркутский район, р. Емельяниха","Иркутская область, Иркутский район, р. Емельяниха",https://yandex.ru/maps/-/CCUcvScdCC,река Емельяниха,"река Емельяниха, Листвянское муниципальное образование, Иркутский район","51.868166, 104.936224",51.868166,104.936224,,2,Иркутский район
р.п. Листвянка - п. БольшоеГолоустное,"Иркутская область, Иркутский район, р. Черная","Иркутская область, Иркутский район, р. Черная",https://yandex.ru/maps/-/CCUcvSs-1A,река Чёрная,"река Чёрная, Большереченское муниципальное образование, Иркутский район","52.018008, 104.717170",52.018008,104.71717,,3,Иркутский район
р.п. Листвянка - п. БольшоеГолоустное,"Иркутская область, Иркутский район, п. Бол.Коты","Иркутская область, Иркутский район, п. Бол.Коты",https://yandex.ru/maps/-/CCUcvSDCPD,посёлок Большие Коты,"посёлок Большие Коты, Листвянское муниципальное образование, Иркутский район","51.904376, 105.074996",51.904376,105.074996,,4,Иркутский район
р.п. Листвянка - п. БольшоеГолоустное,"Иркутская область, Иркутский район, мыс Соболев","Иркутская область, Иркутский район, мыс Соболев",https://yandex.ru/maps/-/CCUcvSTQDD,мыс Соболев,"мыс Соболев, Листвянское муниципальное образование, Иркутский район","51.899486, 105.155125",51.899486,105.155125,,5,Иркутский район
р.п. Листвянка - п. БольшоеГолоустное,"Иркутская область, Иркутский район, мыс Кадильный","Иркутская область, Иркутский район, мыс Кадильный",https://yandex.ru/maps/-/CCUcvSXS-D,мыс Большой Кадильный,"мыс Большой Кадильный, Листвянское муниципальное образование, Иркутский район","51.916610, 105.221789",51.91661,105.221789,,6,Иркутский район
р.п. Листвянка - п. БольшоеГолоустное,"Иркутская область, Иркутский район, падь Малая Кадильная","Иркутская область, Иркутский район, падь Малая Кадильная",https://yandex.ru/maps/-/CCUgAHcMKD,Листвянское муниципальное образование,"Листвянское муниципальное образование, Иркутский район","51.937858, 105.252247",51.937858,105.252247,,7,Иркутский район
р.п. Листвянка - п. БольшоеГолоустное,"Иркутская область, Иркутский район, падь Ушканья","Иркутская область, Иркутский район, падь Ушканья",https://yandex.ru/maps/-/CCUcvStldC,урочище Ушканья Падь,"урочище Ушканья Падь, Голоустненское муниципальное образование, Иркутский район","51.988208, 105.313399",51.988208,105.313399,,8,Иркутский район
р.п. Листвянка - п. БольшоеГолоустное,"Иркутская область, Иркутский район, п. Большое Голоустное","Иркутская область, Иркутский район, п. Большое Голоустное",https://yandex.ru/maps/-/CCUcvWAFsB,посёлок Большое Голоустное,"посёлок Большое Голоустное, Голоустненское муниципальное образование, Иркутский район","52.038539, 105.409097",52.038539,105.409097,,9,Иркутский район
р.п. Листвянка – падь Крестовая – пер. Черный  - падь Черная,"Иркутская область, Иркутский район, п. Листвянка","Иркутская область, Иркутский район, п. Листвянка",https://yandex.ru/maps/-/CCUcvSWVOC,рабочий посёлок Листвянка,"рабочий посёлок Листвянка, Листвянское муниципальное образование, Иркутский район","51.859990, 104.863191",51.85999,104.863191,https://baikal-1.ru/tourism/routes-and-maps/,1,Иркутский район
р.п. Листвянка – падь Крестовая – пер. Черный  - падь Черная,"Иркутская область, Иркутский район, Падь Крестовая","Иркутская область, Иркутский район, Падь Крестовая",https://yandex.ru/maps/-/CCUgAHg0pB,река Крестовка,"река Крестовка, Листвянское муниципальное образование, Иркутский район","51.893356, 104.905095",51.893356,104.905095,https://baikal-1.ru/tourism/routes-and-maps/krestovaya-valley/,2,Иркутский район
р.п. Листвянка – падь Крестовая – пер. Черный  - падь Черная,"Иркутская область, Иркутский район, Перевал Черный","Иркутская область, Иркутский район, Перевал Черный",https://yandex.ru/maps/-/CCUgAHs9cC,Листвянское муниципальное образование,"Листвянское муниципальное образование, Иркутский район","51.906583, 104.979825",51.906583,104.979825,,3,Иркутский район
р.п. Листвянка – падь Крестовая – пер. Черный  - падь Черная,"Иркутская область, Иркутский район, Падь Черная","Иркутская область, Иркутский район, Падь Черная",https://yandex.ru/maps/-/CCUgAHw1gD,Падь Чёрная,"Иркутская область, Иркутский район, Листвянское муниципальное образование","51.889405, 105.037262",51.889405,105.037262,,4,Иркутский район
падь Семениха – оз. Сухое,"Иркутская область, Иркутский район, Падь Семениха","Иркутская область, Иркутский район, Падь Семениха",https://yandex.ru/maps/-/CCUgAHw2-D,Голоустненское муниципальное образование,"Голоустненское муниципальное образование, Иркутский район","52.017500, 105.351667",52.0175,105.351667,https://wikimapia.org/34145484/ru/Падь-Озерко-она-же-Прямая-Белозерцевская-Семёниха,1,Иркутский район
падь Семениха – оз. Сухое,"Иркутская область, Иркутский район, Оз. Сухое","Иркутская область, Иркутский район, Оз. Сухое",https://yandex.ru/maps/-/CCUcvWFy-A,озеро Сухое,"озеро Сухое, Голоустненское муниципальное образование, Иркутский район","52.020220, 105.349754",52.02022,105.349754,,2,Иркутский район
Большое Голоустное – Бугульдейка,"Иркутская область, Иркутский район, Большое Голоустное","Иркутская область, Иркутский район, Большое Голоустное",https://yandex.ru/maps/-/CCUcvWVIWA,пристань Большое Голоустное,"пристань Большое Голоустное, Голоустненское муниципальное образование, Иркутский район","52.025485, 105.405674",52.025485,105.405674,,1,Иркутский район
Большое Голоустное – Бугульдейка,"Иркутская область, Иркутский район, перевал Еловый","Иркутская область, Иркутский район, перевал Еловый",https://yandex.ru/maps/-/CCUgAHsk2A,река Еловка,"река Еловка, Голоустненское муниципальное образование, Иркутский район","52.110424, 105.504009",52.110424,105.504009,,2,Иркутский район
Большое Голоустное – Бугульдейка,"Иркутская область, Иркутский район, перевал Кедровый","Иркутская область, Иркутский район, перевал Кедровый",https://yandex.ru/maps/-/CCUgAHwKWC,Голоустненское муниципальное образование,"Голоустненское муниципальное образование, Иркутский район","52.222087, 105.615443",52.222087,105.615443,,3,Иркутский район
Большое Голоустное – Бугульдейка,"Иркутская область, Иркутский район, бухта Синичка","Иркутская область, Иркутский район, бухта Синичка",https://yandex.ru/maps/-/CCUcvWvdhC,бухта Синичка,"бухта Синичка, Голоустненское муниципальное образование, Иркутский район","52.256210, 105.696028",52.25621,105.696028,,4,Иркутский район
Большое Голоустное – Бугульдейка,"Иркутская область, Иркутский район, бухта Песчаная","Иркутская область, Иркутский район, бухта Песчаная",https://yandex.ru/maps/-/CCUcvWSILD,пристань Бухта Песчаная,"пристань Бухта Песчаная, Голоустненское муниципальное образование, Иркутский район","52.261474, 105.702720",52.261474,105.70272,,5,Иркутский район
Большое Голоустное – Бугульдейка,"Иркутская область, Иркутский район, бухта Бабушка","Иркутская область, Иркутский район, бухта Бабушка",https://yandex.ru/maps/-/CCURQXDVDA,бухта Бабушка,"бухта Бабушка, Голоустненское муниципальное образование, Иркутский район","52.265498, 105.713653",52.265498,105.713653,,6,Иркутский район
Большое Голоустное – Бугульдейка,"Иркутская область, Иркутский район, п. Бугульдейка","Иркутская область, Иркутский район, п. Бугульдейка",https://yandex.ru/maps/-/CCUgAHD0gA,поселок Бугульдейка,"поселок Бугульдейка, Ольхонский район, Иркутская область","52.546571, 106.069170",52.546571,106.06917,,7,Иркутский район
Большое Голоустное – Падь Тарахаиха – озеро Сухое – Падь Ушканья,"Иркутская область, Иркутский район, Большое Голоустное","Иркутская область, Иркутский район, Большое Голоустное",https://yandex.ru/maps/-/CCUcvWVIWA,пристань Большое Голоустное,"пристань Большое Голоустное, Голоустненское муниципальное образование, Иркутский район","52.025485, 105.405674",52.025485,105.405674,https://tripmir.com/routes/99/bolshoe_goloustnoe-pad_tarahaiha-ozero_suhoe_–.html,1,Иркутский район
Большое Голоустное – Падь Тарахаиха – озеро Сухое – Падь Ушканья,"Иркутская область, Иркутский район, Падь Тарахаиха","Иркутская область, Иркутский район, Падь Тарахаиха",https://yandex.ru/maps/-/CCUgAHHskB,Голоустненское муниципальное образование,"Голоустненское муниципальное образование, Иркутский район","52.011050, 105.366069",52.01105,105.366069,https://tripmir.com/routes/99/bolshoe_goloustnoe-pad_tarahaiha-ozero_suhoe_–.html,2,Иркутский район
Большое Голоустное – Падь Тарахаиха – озеро Сухое – Падь Ушканья,"Иркутская область, Иркутский район,  Озеро Сухое","Иркутская область, Иркутский район,  Озеро Сухое",https://yandex.ru/maps/-/CCUcvWFy-A,озеро Сухое,"озеро Сухое, Голоустненское муниципальное образование, Иркутский район","52.020220, 105.349754",52.02022,105.349754,https://tripmir.com/routes/99/bolshoe_goloustnoe-pad_tarahaiha-ozero_suhoe_–.html,3,Иркутский район
Большое Голоустное – Падь Тарахаиха – озеро Сухое – Падь Ушканья,"Иркутская область, Иркутский район, Падь Ушканья","Иркутская область, Иркутский район, Падь Ушканья",https://yandex.ru/maps/-/CCUcvStldC,урочище Ушканья Падь,"урочище Ушканья Падь, Голоустненское муниципальное образование, Иркутский район","51.988208, 105.313399",51.988208,105.313399,https://tripmir.com/routes/99/bolshoe_goloustnoe-pad_tarahaiha-ozero_suhoe_–.html,4,Иркутский район
Тропа к пещере Часовня,"Иркутская область, Иркутский район, Падь Малая Кадильная","Иркутская область, Иркутский район, Падь Малая Кадильная",https://yandex.ru/maps/-/CCUgAHcMKD,Листвянское муниципальное образование,"Листвянское муниципальное образование, Иркутский район","51.937858, 105.252247",51.937858,105.252247,,1,Иркутский район
Тропа к пещере Часовня,"Иркутская область, Иркутский район, Пещера Часовня","Иркутская область, Иркутский район, Пещера Часовня",https://yandex.ru/maps/-/CCUgAHhXCC,Листвянское муниципальное образование,"Листвянское муниципальное образование, Иркутский район","51.941390, 105.248877",51.94139,105.248877,,2,Иркутский район
Семь чудес Братского района,"Иркутская область, Братский район, п. Турма, Каменные столбы","Иркутская область, Братский район, п. Турма, Каменные столбы",https://yandex.ru/maps/-/CCUcv0A0pA,Турманские столбы,"Турманские столбы, Братский район, Иркутская область","56.153172, 100.827554",56.153172,100.827554,,1,Братский район
Семь чудес Братского района,"Иркутская область, Братский район, с. Кузнецовка, родник","Иркутская область, Братский район, с. Кузнецовка, родник",https://yandex.ru/maps/-/CCUgAHdhoA,село Кузнецовка,"село Кузнецовка, Братский район, Иркутская область","56.087248, 101.243591",56.087248,101.243591,,2,Братский район
Семь чудес Братского района,"Иркутская область, Братский район, п. Зяба, Каменистая речка","Иркутская область, Братский район, п. Зяба, Каменистая речка",https://yandex.ru/maps/-/CCUcv0av3A,поселок Зяба,"поселок Зяба, Братский район, Иркутская область","56.379003, 102.129707",56.379003,102.129707,,3,Братский район
Семь чудес Братского района,"Иркутская область, Братский район,  п. Озерный, Рудная гора","Иркутская область, Братский район,  п. Озерный, Рудная гора",https://yandex.ru/maps/-/CCUcv0eXPA,посёлок Озёрный,"посёлок Озёрный, Братский район, Иркутская область","55.875864, 102.085079",55.875864,102.085079,,4,Братский район
Семь чудес Братского района,"Иркутская область, Братский район, п. Тарма, Николаевский завод","Иркутская область, Братский район, п. Тарма, Николаевский завод",https://yandex.ru/maps/-/CCUgM4SEGD,Развалины печей (Северные),"Братский район, Иркутская область","55.997720, 101.317080",55.99772,101.31708,https://vk.com/wall-211203204_139,5,Братский район
Семь чудес Братского района,"Иркутская область, Братский район, п. Тарма, Николаевский завод","Иркутская область, Братский район, п. Тарма, Николаевский завод",https://yandex.ru/maps/-/CCUgM4DM8B,Развалины печей (Южные),"Братский район, Иркутская область","55.992830, 101.322470",55.99283,101.32247,https://vk.com/wall-211203204_139,6,Братский район
Семь чудес Братского района,"Иркутская область, Братский район,  п. Добчур, водопад","Иркутская область, Братский район,  п. Добчур, водопад",https://yandex.ru/maps/-/CCUcv0BeDB,поселок Добчур,"поселок Добчур, Братский район, Иркутская область","55.341986, 101.147992",55.341986,101.147992,,7,Братский район
Семь чудес Братского района,"Иркутская область, Братский район,  мемориальный комплекс нескольких исторических эпох «Деревня «Анчириково»","Иркутская область, Братский район,  мемориальный комплекс нескольких исторических эпох «Деревня «Анчириково»",https://yandex.ru/maps/org/taksofon/111383269183/,Деревная Анчирикова,"Иркутская область, Братский район, деревня Анчирикова","56.467026, 101.516030",56.467026,101.51603,,8,Братский район
"Ангарск – город, рождённый победой","Иркутская область, г. Ангарск, Памятник политкаторжанам","Иркутская область, г. Ангарск, Памятник политкаторжанам",https://yandex.ru/maps/-/CCUgIPGJLD,Декабристам,"Иркутская область, Ангарск, Московская улица","52.552208, 103.875328",52.552208,103.875328,,1,Ангарск
"Ангарск – город, рождённый победой","Иркутская область, г. Ангарск, Стела «Крылья»","Иркутская область, г. Ангарск, Стела «Крылья»",https://yandex.ru/maps/org/krylya/49090994781/,Крылья,"Иркутская область, Ангарск, сквер Почётных Граждан","52.551919, 103.875404",52.551919,103.875404,,2,Ангарск
